ENDING
dissOpp

KING SPADE
handOpp

handCap

ACE CLUB
ACE HEART
ACE DIAMOND
ACE SPADE
TWO CLUB
TWO HEART
TWO DIAMOND
TWO SPADE
THREE HEART
THREE DIAMOND
deckSts
blank blank
ACE CLUB CAP
TWO CLUB CAP
THREE CLUB DECK
FOUR CLUB DECK
FIVE CLUB DECK
SIX CLUB DECK
SEVEN CLUB DECK
EIGHT CLUB DECK
NINE CLUB DECK
TEN CLUB DECK
JACK CLUB DECK
QUEEN CLUB DECK
KING CLUB DECK
ACE DIAMOND CAP
TWO DIAMOND CAP
THREE DIAMOND CAP
FOUR DIAMOND DECK
FIVE DIAMOND DECK
SIX DIAMOND DECK
SEVEN DIAMOND DECK
EIGHT DIAMOND DECK
NINE DIAMOND DECK
TEN DIAMOND DECK
JACK DIAMOND DECK
QUEEN DIAMOND DECK
KING DIAMOND DECK
ACE HEART CAP
TWO HEART CAP
THREE HEART CAP
FOUR HEART DECK
FIVE HEART DECK
SIX HEART DECK
SEVEN HEART DECK
EIGHT HEART DECK
NINE HEART DECK
TEN HEART DECK
JACK HEART DECK
QUEEN HEART DECK
KING HEART DECK
ACE SPADE CAP
TWO SPADE CAP
THREE SPADE DECK
FOUR SPADE DECK
FIVE SPADE DECK
SIX SPADE DECK
SEVEN SPADE DECK
EIGHT SPADE DECK
NINE SPADE DECK
TEN SPADE DECK
JACK SPADE DECK
QUEEN SPADE DECK
KING SPADE OPPD
